date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2026-04-04,04/04/2026,73,10,24,"96, 94","71, 79, 69, 52, 73, 15, 16",13,"02, 08, 12",77,70
2026-04-04,Bình Định,59,29,79,"32, 89","19, 81, 48, 61, 33, 81, 02",43,"37, 07, 12",85,74
2026-04-04,Gia Lai,69,83,07,"87, 61","14, 26, 05, 96, 00, 67, 11",83,"09, 99, 91",81,37
2026-04-04,Ninh Thuận,53,15,21,"37, 41","68, 58, 63, 75, 65, 24, 29",69,"95, 34, 73",56,04
2026-04-04,Quảng Bình,98,82,68,"70, 71","84, 77, 83, 63, 08, 20, 18",37,"60, 12, 30",64,21
2026-04-04,Quảng Ngãi,38,84,71,"27, 06","25, 98, 47, 41, 85, 06, 73",24,"24, 19, 34",37,01
2026-04-04,Quảng Trị,18,39,69,"96, 36","18, 86, 57, 25, 87, 17, 56",25,"20, 59, 93",14,09
2026-04-04,Đà Nẵng,55,77,11,"51, 30","45, 28, 66, 10, 02, 02, 35",87,"18, 47, 66",72,80
2026-04-05,04/04/2026,73,10,24,"96, 94","71, 79, 69, 52, 73, 15, 16",13,"02, 08, 12",77,70
2026-04-05,05/04/2026,54,01,19,"67, 24","94, 12, 35, 51, 84, 15, 84",77,"57, 25, 67",13,70
2026-04-05,Gia Lai,69,83,07,"87, 61","14, 26, 05, 96, 00, 67, 11",83,"09, 99, 91",81,37
2026-04-05,Khánh Hòa,34,88,97,"39, 42","28, 91, 53, 36, 60, 93, 74",46,"01, 15, 74",75,22
2026-04-05,Kon Tum,67,46,95,"11, 25","25, 47, 97, 12, 25, 51, 38",27,"61, 70, 25",33,12
2026-04-05,Ninh Thuận,53,15,21,"37, 41","68, 58, 63, 75, 65, 24, 29",69,"95, 34, 73",56,04
2026-04-05,Quảng Ngãi,38,84,71,"27, 06","25, 98, 47, 41, 85, 06, 73",24,"24, 19, 34",37,01
2026-04-05,Đà Nẵng,55,77,11,"51, 30","45, 28, 66, 10, 02, 02, 35",87,"18, 47, 66",72,80
2026-04-06,04/04/2026,73,10,24,"96, 94","71, 79, 69, 52, 73, 15, 16",13,"02, 08, 12",77,70
2026-04-06,05/04/2026,54,01,19,"67, 24","94, 12, 35, 51, 84, 15, 84",77,"57, 25, 67",13,70
2026-04-06,06/04/2026,04,86,57,"18, 24","93, 08, 24, 21, 04, 24, 24",21,"32, 86, 07",26,95
2026-04-06,Gia Lai,69,83,07,"87, 61","14, 26, 05, 96, 00, 67, 11",83,"09, 99, 91",81,37
2026-04-06,Khánh Hòa,34,88,97,"39, 42","28, 91, 53, 36, 60, 93, 74",46,"01, 15, 74",75,22
2026-04-06,Kon Tum,67,46,95,"11, 25","25, 47, 97, 12, 25, 51, 38",27,"61, 70, 25",33,12
2026-04-06,Ninh Thuận,53,15,21,"37, 41","68, 58, 63, 75, 65, 24, 29",69,"95, 34, 73",56,04
2026-04-06,Phú Yên,38,14,78,"92, 02","98, 89, 81, 94, 90, 88, 46",35,"16, 53, 57",08,83
2026-04-06,Quảng Ngãi,38,84,71,"27, 06","25, 98, 47, 41, 85, 06, 73",24,"24, 19, 34",37,01
2026-04-06,Đà Nẵng,55,77,11,"51, 30","45, 28, 66, 10, 02, 02, 35",87,"18, 47, 66",72,80
2026-04-07,05/04/2026,54,01,19,"67, 24","94, 12, 35, 51, 84, 15, 84",77,"57, 25, 67",13,70
2026-04-07,06/04/2026,04,86,57,"18, 24","93, 08, 24, 21, 04, 24, 24",21,"32, 86, 07",26,95
2026-04-07,Khánh Hòa,34,88,97,"39, 42","28, 91, 53, 36, 60, 93, 74",46,"01, 15, 74",75,22
2026-04-07,Kon Tum,67,46,95,"11, 25","25, 47, 97, 12, 25, 51, 38",27,"61, 70, 25",33,12
2026-04-07,Phú Yên,38,14,78,"92, 02","98, 89, 81, 94, 90, 88, 46",35,"16, 53, 57",08,83
2026-04-07,Quảng Nam,29,88,63,"76, 76","37, 49, 09, 10, 13, 87, 68",24,"50, 05, 96",32,33
2026-04-07,Đắk Lắk,31,02,63,"77, 13","31, 30, 17, 65, 40, 82, 59",08,"44, 36, 73",37,73
2026-04-08,06/04/2026,04,86,57,"18, 24","93, 08, 24, 21, 04, 24, 24",21,"32, 86, 07",26,95
2026-04-08,Khánh Hòa,01,92,37,"67, 88","75, 12, 76, 11, 34, 20, 12",07,"16, 87, 83",43,07
2026-04-08,Phú Yên,38,14,78,"92, 02","98, 89, 81, 94, 90, 88, 46",35,"16, 53, 57",08,83
2026-04-08,Quảng Nam,29,88,63,"76, 76","37, 49, 09, 10, 13, 87, 68",24,"50, 05, 96",32,33
2026-04-08,Đà Nẵng,97,78,22,"59, 65","23, 02, 02, 23, 62, 68, 17",67,"74, 84, 22",78,35
2026-04-08,Đắk Lắk,31,02,63,"77, 13","31, 30, 17, 65, 40, 82, 59",08,"44, 36, 73",37,73
2026-04-09,Bình Định,00,44,52,"47, 11","45, 34, 86, 98, 20, 61, 63",19,"37, 89, 20",34,62
2026-04-09,Khánh Hòa,01,92,37,"67, 88","75, 12, 76, 11, 34, 20, 12",07,"16, 87, 83",43,07
2026-04-09,Quảng Bình,40,24,03,"51, 15","84, 95, 19, 83, 71, 30, 53",74,"82, 23, 97",34,16
2026-04-09,Quảng Nam,29,88,63,"76, 76","37, 49, 09, 10, 13, 87, 68",24,"50, 05, 96",32,33
2026-04-09,Quảng Trị,68,28,14,"58, 36","07, 21, 34, 38, 85, 14, 05",89,"71, 32, 39",04,34
2026-04-09,Đà Nẵng,97,78,22,"59, 65","23, 02, 02, 23, 62, 68, 17",67,"74, 84, 22",78,35
2026-04-09,Đắk Lắk,31,02,63,"77, 13","31, 30, 17, 65, 40, 82, 59",08,"44, 36, 73",37,73
